industry_slug,industry_name,industry_description,industry_sort_order,industry_function_slug,industry_function_name,industry_function_description,industry_function_sort_order,vendor_slug,vendor_name,vendor_logo_url,vendor_logo_asset,vendor_summary,vendor_sort_order,product_slug,product_name,product_family,integration_status,integration_type,integration_api_url,product_summary,product_sort_order,is_visible,internal_notes,asset_data_available,telemetry_data_available,writeback_supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,plm-engineering,PLM & Engineering,"Engineering, digital thread, and lifecycle management systems for industrial products and assets.",70,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,comos-web-rest-api,COMOS Web REST API,COMOS,built,OpenAPI,https://developer.siemens.com/comos/comos-rest-apispec.json,"REST-style, HTTP-based API used to interact with COMOS data and to access COMOS features.",10,TRUE,source_key=siemens-developer-portal; source_product_line_slug=comos; source_product_line_name=COMOS; scraped_source=https://developer.siemens.com/comos/overview.html; integration_api_url=https://developer.siemens.com/comos/comos-rest-apispec.json; tags=comos,Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,security-monitoring-api,Security Monitoring API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/security-api/security-monitoring-v1/security.monitoring.openapi.yaml,Retrieve security-related data of your connected devices.,140,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/security-api/security-monitoring-v1/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/security-api/security-monitoring-v1/security.monitoring.openapi.yaml; tags=,Not Supported,Supported,Not Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,building-operations,Building Operations,"Connected building control, occupancy, and operations systems.",10,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,point-value-ingest-api,Point Value Ingest API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/point-value-ingest-api/ingestion.openapi.yaml,RESTful API for setting values of a Point.,150,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/point-value-ingest-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/point-value-ingest-api/ingestion.openapi.yaml; tags=,Not Supported,Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,building-operations,Building Operations,"Connected building control, occupancy, and operations systems.",10,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,building-geometry-api,Building Geometry API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/geometry-api/geometry.openapi.yaml,RESTful API for creating and interacting with 2D geometry of building floorplans.,160,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/geometry-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/geometry-api/geometry.openapi.yaml; tags=,Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,energy-management,Energy Management,"Energy, sustainability, and facility performance systems for commercial buildings.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,energy-api,Energy API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/energy-api/energy.openapi.yaml,"RESTful API for reading energy consumption, emission, or cost data for a location or a meter in the granularity and for the period of interest.",170,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/energy-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/energy-api/energy.openapi.yaml; tags=,Supported,Supported,Not Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,building-operations,Building Operations,"Connected building control, occupancy, and operations systems.",10,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,lifecycle-twin-api,Lifecycle Twin API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/lifecycletwin-api/ecodomus-api-reference.yaml,RESTful API for creating and managing various objects in the Lifecycle Twin.,180,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/lifecycletwin-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/lifecycletwin-api/ecodomus-api-reference.yaml; tags=,Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,building-operations,Building Operations,"Connected building control, occupancy, and operations systems.",10,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,streaming-api,Streaming API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/streaming-api/streaming.openapi.yaml,RESTful API for configuring real-time data streaming.,190,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/streaming-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/streaming-api/streaming.openapi.yaml; tags=,Not Supported,Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,visitor-manager-api,Visitor Manager API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/visitormanager-api/visitormanager.openapi.yaml,RESTful API for retrieving and managing visitor information.,200,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/visitormanager-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/visitormanager-api/visitormanager.openapi.yaml; tags=,Not Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,energy-management,Energy Management,"Energy, sustainability, and facility performance systems for commercial buildings.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,sustainability-api,Sustainability API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/sustainability-api/sustainability.openapi.yaml,RESTful API for reading energy consumption and cost data for a customer.,210,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/sustainability-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/sustainability-api/sustainability.openapi.yaml; tags=,Supported,Supported,Not Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,charger-status-api,Charger Status API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/ChargerStatusAPI-v2-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",220,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/ChargerStatusAPI/charger_status_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/ChargerStatusAPI-v2-0-0.yaml; tags=,Supported,Supported,Not Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,charger-control-api,Charger Control API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/ChargerControlAPI-v1-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",230,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/ChargerControlAPI/charger_control_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/ChargerControlAPI-v1-0-0.yaml; tags=,Supported,Not Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,remote-command-api,Remote Command API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/RemoteCommandAPI-v2-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",240,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/RemoteCommandAPI/remote_command_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/RemoteCommandAPI-v2-0-0.yaml; tags=,Supported,Not Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,reservations-api,Reservations API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/ReservationsAPI-v1-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",250,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/ReservationsAPI/reservations_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/ReservationsAPI-v1-0-0.yaml; tags=,Supported,Not Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,rfid-management-api,RFID Management API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/RFIDAPI-v2-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",260,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/RFIDManagementAPI/rfid_management_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/RFIDAPI-v2-0-0.yaml; tags=,Supported,Not Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,transaction-management-api,Transaction Management API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/TransactionsAPI-v2-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",270,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/TransactionManagementAPI/transaction_management_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/TransactionsAPI-v2-0-0.yaml; tags=,Supported,Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,vdv-261-api,VDV-261 API,DepotFinity,built,OpenAPI,https://developer.siemens.com/depotfinity/api_specs/VDV261-v1-0-0.yaml,"DepotFinity is a cloud-based software service that is used to monitor, report, schedule and manage the charging operations of chargers within a depot.",280,TRUE,source_key=siemens-developer-portal; source_product_line_slug=depotfinity; source_product_line_name=DepotFinity; scraped_source=https://developer.siemens.com/depotfinity/VDV261/vdv261_api.html; integration_api_url=https://developer.siemens.com/depotfinity/api_specs/VDV261-v1-0-0.yaml; tags=,Supported,Supported,Not Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,electrification-x-api,Electrification X API,Electrification X,built,OpenAPI,https://developer.siemens.com/electrification-x/api_specs/openapi-v1_0_0.yaml,Electrification X® combines the real and digital worlds in the Xcelerator IoT Software as a Service (SaaS) offering for Electrification & Automation to tackle the challenges of energy transition.,300,TRUE,source_key=siemens-developer-portal; source_product_line_slug=electrification-x; source_product_line_name=Electrification X; scraped_source=https://developer.siemens.com/electrification-x/api_specs/api_reference.html; integration_api_url=https://developer.siemens.com/electrification-x/api_specs/openapi-v1_0_0.yaml; tags=,Supported,Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,safety-ehs,Safety,"Environment, health, and safety systems for incident, risk, and compliance workflows.",90,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,occupancy-apis,Occupancy APIs,Enlighted,built,OpenAPI,https://developer.siemens.com/enlighted-apis/occupancy/occupancy.openapi.yaml,"The Enlighted lighting solution optimizes energy savings while enhancing occupant productivity, well-being, and security.",310,TRUE,source_key=siemens-developer-portal; source_product_line_slug=enlighted-apis; source_product_line_name=Enlighted; scraped_source=https://developer.siemens.com/enlighted-apis/occupancy/overview.html; integration_api_url=https://developer.siemens.com/enlighted-apis/occupancy/occupancy.openapi.yaml; tags=occupancy,Not Supported,Supported,Not Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,safety-ehs,Safety,"Environment, health, and safety systems for incident, risk, and compliance workflows.",90,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,location-services-rtls-apis,Location Services (RTLS) APIs,Enlighted,built,OpenAPI,https://developer.siemens.com/enlighted-apis/location-services/location.openapi.yaml,"The Enlighted lighting solution optimizes energy savings while enhancing occupant productivity, well-being, and security.",320,TRUE,source_key=siemens-developer-portal; source_product_line_slug=enlighted-apis; source_product_line_name=Enlighted; scraped_source=https://developer.siemens.com/enlighted-apis/location-services/overview.html; integration_api_url=https://developer.siemens.com/enlighted-apis/location-services/location.openapi.yaml; tags=location-services,Supported,Supported,Not Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,safety-ehs,Safety,"Environment, health, and safety systems for incident, risk, and compliance workflows.",90,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,energy-and-environment-apis,Energy and Environment APIs,Enlighted,built,OpenAPI,https://developer.siemens.com/enlighted-apis/energy-environment/energy-environment.openapi.yaml,"The Enlighted lighting solution optimizes energy savings while enhancing occupant productivity, well-being, and security.",330,FALSE,source_key=siemens-developer-portal; source_product_line_slug=enlighted-apis; source_product_line_name=Enlighted; scraped_source=https://developer.siemens.com/enlighted-apis/energy-environment/overview.html; integration_api_url=https://developer.siemens.com/enlighted-apis/energy-environment/energy-environment.openapi.yaml; tags=energy-and-environment,Supported,Supported,Not Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,ai-asset-manager-aws-cloud-package-delivery-api,AI Asset Manager AWS Cloud Package Delivery API,Industrial AI Suite,built,REST API,https://developer.siemens.com/industrial-ai-suite/asset-manager/async-apis/aws-delivery-api/aws-delivery-api.yml,Revolutionize your AI operations across locations with seamless cloud integration. Our Industrial AI Suite runs on a new line of Industrial PCs powered by NVIDIA's GPUs accelerating AI execution. This makes complex AI tasks in advanced automation broadly available and boosts efficiency.,350,TRUE,source_key=siemens-developer-portal; source_product_line_slug=industrial-ai-suite; source_product_line_name=Industrial AI Suite; scraped_source=https://developer.siemens.com/industrial-ai-suite/asset-manager/async-apis/aws-delivery-api/api.html; integration_api_url=https://developer.siemens.com/industrial-ai-suite/asset-manager/async-apis/aws-delivery-api/aws-delivery-api.yml; tags=,Supported,Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,mes-production,MES & Production,"Execution, production visibility, and plant-floor workflow systems tied to manufacturing throughput.",20,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,ai-asset-manager-azure-cloud-package-delivery-api,AI Asset Manager Azure Cloud Package Delivery API,Industrial AI Suite,built,REST API,https://developer.siemens.com/industrial-ai-suite/asset-manager/async-apis/azure-delivery-api/azure-delivery-api.yml,Revolutionize your AI operations across locations with seamless cloud integration. Our Industrial AI Suite runs on a new line of Industrial PCs powered by NVIDIA's GPUs accelerating AI execution. This makes complex AI tasks in advanced automation broadly available and boosts efficiency.,360,TRUE,source_key=siemens-developer-portal; source_product_line_slug=industrial-ai-suite; source_product_line_name=Industrial AI Suite; scraped_source=https://developer.siemens.com/industrial-ai-suite/asset-manager/async-apis/azure-delivery-api/api.html; integration_api_url=https://developer.siemens.com/industrial-ai-suite/asset-manager/async-apis/azure-delivery-api/azure-delivery-api.yml; tags=,Supported,Supported,Supported
